stop_id,stop_name,stop_lat,stop_lon,wheelchair_boarding,stop_code
109887,Departure Bay at Bay,49.20589,-123.96973,0,109887
109888,Dep Bay at Little John,49.2075,-123.97187,0,109888
110515,Country Club Exch Bay B,49.20699,-124.00442,0,110515
109848,Departure Bay at Wassell,49.20765,-124.00067,0,109848
109893,Dep Bay at Little John,49.20737,-123.97257,0,109893
109894,Hammond Bay at Friar Tuck,49.20688,-123.96929,0,109894
110093,Albert at Kennedy,49.15941,-123.94195,0,110093
110111,Pine at Hamilton,49.15869,-123.94562,0,110111
110112,Park at 5th St,49.15531,-123.94386,0,110112
110117,8th St at Cassell,49.1438,-123.94893,0,110117
110118,Bruce at Weeks,49.14045,-123.94981,0,110118
110421,Memorial at Railway,49.34852,-124.44146,0,110421
110363,Village at Berwick Rd N,49.34904,-124.44067,0,110363
110364,Village 290 block,49.34878,-124.43437,0,110364
110365,Village at Hemsworth,49.34845,-124.42799,0,110365
110366,Village at Qualicum,49.34896,-124.42036,0,110366
110367,Village at Nootka,49.34934,-124.41611,0,110367
110370,Bennett at Cardinal,49.34798,-124.39904,0,110370
110371,Sunrise at Lancaster,49.34613,-124.39656,0,110371
110374,Sunrise at Boultbee,49.34534,-124.38509,0,110374
110378,Sunrise at Island Hwy W,49.34885,-124.36837,0,110378
104050,Island Hwy at Lee,49.34622,-124.36073,0,104050
110382,Island Hwy W at Wright,49.33927,-124.35289,0,110382
110383,Island Hwy W at Rushton,49.32657,-124.33494,0,110383
110384,Isl Hwy W at Finholm St N,49.32463,-124.32816,0,110384
110385,Island Hwy W at Moilliet,49.32302,-124.32271,0,110385
110386,McMillan at Island Hwy W,49.32165,-124.31698,0,110386
104044,McMillan at Harrison,49.32025,-124.31693,0,104044
110387,McMillan at Jensen Ave W,49.31871,-124.31674,0,110387
110390,Corfield 280 block,49.316,-124.30717,0,110390
110391,Stanford Ave E at Bagshaw,49.31558,-124.30463,0,110391
110392,McVickers at Stanford,49.31627,-124.30232,0,110392
110393,McVickers at Island Hwy E,49.31875,-124.30235,0,110393
110396,Isl Hwy E at Martindale,49.31629,-124.28835,0,110396
104052,Island Hwy at Riverside,49.31449,-124.27705,0,104052
104045,Island Hwy at Tuan,49.3093,-124.26736,0,104045
104160,Island Hwy E at Huntley,49.30719,-124.26419,0,104160
110399,Northwest Bay 1230 block,49.30475,-124.25907,0,110399
110400,Northwest Bay at Langara,49.30211,-124.25589,0,110400
110401,Northwest Bay at Gabriola,49.29884,-124.2487,0,110401
110402,Northwest Bay at Terrien,49.2999,-124.24315,0,110402
110403,NW Bay at Beaver Crk Whrf,49.30304,-124.23461,0,110403
110404,Northwest Bay at Ballenas,49.301,-124.23094,0,110404
110405,Northwest Bay at Wall Bch,49.29745,-124.22573,0,110405
110406,Northwest Bay at Sanders,49.28961,-124.21272,0,110406
110407,Northwest Bay at Delanice,49.28809,-124.19882,0,110407
